TOURISMUSORGANISATIONEN IN SÜDTIROL;;;;;;;
Nr.;Bezeichnung;Präsident/in;Straße;Ort;Tel. - Fax;E-Mail;Web
1;Tourismusverein Alta Badia;Augusto Manco;Colz-Straße 75;39030 Stern/Abtei ;"Tel. 0471 847037    
Fax 0471 847277";lavilla@altabadia.org;www.altabadia.org
2;Tourismusverein Ahrntal (Steinhaus, St.Jakob, St.Peter, Prettau, St. Johann, Weißenbach, Luttach);Michael Zimmerhofer;Ahrner Straße 22;39030 Luttach/Ahrntal      ;"Tel. 0474 671136  
Fax 0474 830240";info@ahrntal.it;www.ahrntal.it
3;Tourismusverein Aldein-Radein;Fabian Foppa;Dorf 34;39040 Aldein          ;"Tel. 0471 886800 
Fax 0471 886666";info@aldein-radein.com;www.aldein-radein.com
4;Tourismusverein Algund ;Michael Schwellensattl;Hans-Gamper-Platz 3;39022 Algund         ;"Tel. 0473 448600
Fax 0473 448917";info@algund.com;www.algund.com
5;Tourismusverein Andrian;Christian Barbieri;Wehrburgstraße 1/A;39010 Andrian             ;"Tel. 0471 510100
Fax 0471 510642";info@andrian.info;www.andrian.info
6;Tourismusverein Antholzertal;Georg Zingerle;Niederrasner Straße 35/F;39030 Rasen-Antholz  ;"Tel. 0474 496269
Fax 0474 498099";info@antholzertal.com;www.antholzertal.com
7;Bozen (Verkehrsamt);Paolo Pavan;Südtiroler Straße 60;39100 Bozen;"Tel. 0471 307000 
Fax 0471 980128";info@bolzano-bozen.it;www.bolzano-bozen.it
8;Brixen Tourismus Genossenschaft (Vahrn, Franzensfeste);Markus Huber;Regensburger Allee 9;39042 Brixen   ;"Tel. 0472 836401    
Fax 0472 836067";info@brixen.org;www.brixen.org
9;"Tourismusverein Bruneck Kronplatz Tourismus
(Bruneck-Percha, Gais-Uttenheim, Pfalzen, St. Lorenzen)";Martin Huber;Rathausplatz 7;39031 Bruneck    ;"Tel. 0474 555722   
Fax 0474 555544";info@bruneck.com;www.bruneck.com
10;Tourismusgenossenschaft Castelfeder a.d.S.W.;Anton Dalvai;Hauptplatz 5;39040 Auer          ;"Tel. 0471 810231
Fax 0471 811138";info@castelfeder.info;www.castelfeder.info
